id,agency_id,status,created,sent,due_date,fullfilled_date,private,num_messages,contacts
248,22,Filed (Request sent),2014-01-17 20:08:33+00:00,2014-01-17 20:10:07+00:00,2014-01-27 20:10:07+00:00,None,True,3,22
249,1,Filed (Request sent),2014-01-17 20:22:41+00:00,None,None,None,True,0,
250,1,Incomplete,2014-01-17 20:24:02+00:00,None,None,None,True,0,
251,23,Response received (but not complete),2014-01-17 20:45:41+00:00,2014-01-17 20:49:55+00:00,2014-02-07 20:49:55+00:00,None,True,3,23
252,,Fulfilled,2014-01-17 21:24:52+00:00,2014-01-17 21:26:25+00:00,2014-01-27 21:26:25+00:00,None,True,6,24
253,25,Response received (but not complete),2014-01-17 21:34:53+00:00,2014-01-17 21:37:36+00:00,None,None,True,6,25
255,26,New (Unsent),2014-01-17 22:37:57+00:00,None,None,None,True,0,
256,27,Incomplete,2014-01-17 23:14:20+00:00,None,None,None,True,0,
257,,Incomplete,2014-01-17 23:15:29+00:00,None,None,None,True,0,
258,27,Incomplete,2014-01-17 23:18:36+00:00,None,None,None,True,0,
261,,Denied,2014-01-20 18:58:11+00:00,None,None,None,True,0,
270,27,Incomplete,2014-01-22 05:20:58+00:00,None,None,None,True,0,
271,28,Filed (Request sent),2014-01-22 15:55:06+00:00,2014-01-22 15:58:36+00:00,2014-01-29 15:58:36+00:00,None,True,1,27
272,29,Partially fulfilled,2014-01-22 17:52:31+00:00,2014-01-22 17:56:42+00:00,2014-02-12 17:56:42+00:00,None,True,5,"28,29"
275,8,Incomplete,2014-01-22 21:00:35+00:00,None,None,None,True,0,
276,,Incomplete,2014-01-22 22:02:27+00:00,None,None,None,True,0,
279,,Incomplete,2014-01-22 22:49:54+00:00,None,None,None,True,0,
280,30,Filed (Request sent),2014-01-23 15:16:59+00:00,2014-01-23 15:26:20+00:00,2014-01-28 15:26:20+00:00,None,True,4,30
281,31,Filed (Request sent),2014-01-23 15:30:01+00:00,2014-01-23 15:31:14+00:00,None,None,True,5,31
282,32,Response received (but not complete),2014-01-23 15:37:00+00:00,2014-01-23 15:39:35+00:00,2014-01-30 15:39:35+00:00,None,True,5,32
